,Player,Injury,Length,Date
250,Shawn Chambers,bruised shoulder ,DTD,1050
251,Kelly Chase,strained groin and neck injury ,out indefinitely,1050
252,Tom Barrasso,pulled groin ,DTD,1051
253,Dave Babych,foot injury ,out indefinitely,1052
254,Zdeno Ciger,lower right leg injury ,DTD,1054
255,Tommy Albelin,bruised thigh ,DTD,1060
256,Jamie Baker,concussion ,DTD,1060
257,Shawn Antoski,strained hamstring ,DTD,1062
258,Mikael Andersson,left knee tendinitis ,DTD,1063
259,Steve Chiasson,bruised hip ,DTD,1064
260,Dave Andreychuk,flu ,DTD,1071
261,Donald Brashear,lacerated right thigh ,DTD,1074
262,Bob Wilkie,surgery on spinal disc ,out indefinitely,1096
263,Shane Churla,right ankle injury ,DTD,1096
264,Brian Bellows,groin injury ,DTD,1098
265,Pat Conacher ,strained back ,DTD,1099
266,Brian Bradley ,hip pointer ,DTD,1101
267,Paul Coffey,sprained right thumb ,DTD,1101
268,Shawn Antoski,sprained right ankle ,DTD,1104
269,Benoit Brunet,sprained back ,out indefinitely,1106
270,Shawn Burr,elbow injury ,DTD,1110
271,Dave Andreychuk,surgery on thumb ,DTD,1110
272,Doug Bodger,knee injury ,DTD,1112
273,Shawn Antoski,flu ,DTD,1117
274,Kelly Chase,bruised hand ,DTD,1119
275,Donald Audette,reconstructive surgery on right knee ,out for season,1121
276,Mark Astley,inner ear problem ,DTD,1122
277,Wendel Clark,back spasms ,out indefinitely,1125
278,Enrico Ciccone,shoulder injury ,DTD,1125
279,Ed Belfour,strained hip muscle ,DTD,1126
280,Josef Beranek,sprained thumb ,DTD,1128
281,Shane Churla,knee injury ,DTD,1128
282,Tom Barrasso,shoulder injury ,out indefinitely,1131
283,Ken Belanger,concussion ,DTD,1132
284,Sean Burke,back spasms ,DTD,1133
285,Steve Chiasson,concussion ,DTD,1134
286,Jason Arnott,sprained knee ,DTD,1137
287,Ken Belanger,concussion ,out for season,1138
288,Neal Broten,sprained left ankle ,out indefinitely,1142
289,Patrice Brisebois,sprained back ,DTD,1143
290,Josef Beranek,thumb injury ,DTD,1143
291,Ed Belfour,back injury ,3569,1145
292,Philippe Boucher,left hand injury ,DTD,1145
293,Milos Holan,diagnosed with chronic granulocytic leukemia ,missed entire 1996-97 and 1997-98 seasons,1147
294,Stefan Bergkvist  Stefan Bergqvist,appendectomy ,DTD,1147
295,Kelly Chase,sprained knee ,DTD,1147
296,Todd Bertuzzi,eye injury ,4781,1148
297,Doug Bodger,groin injury ,DTD,1149
298,Dave Babych,illness ,DTD,1149
299,Peter Bondra,pulled groin ,DTD,1150
300,Bob Boughner,bruised left thigh ,DTD,1154
301,Randy Burridge,left knee injury ,DTD,1154
302,Dave Babych,hand injury ,DTD,1155
303,Bob Carpenter  Bobby Carpenter,bruised arm ,DTD,1157
304,Greg Adams ,fractured hand ,DTD,1157
305,Jamie Baker,body aches ,DTD,1158
306,Brian Bradley ,bruised left knee ,DTD,1162
307,Stu Barnes,sprained left knee ,out indefinitely,1165
308,Shawn Chambers,broken right hand ,out indefinitely,1168
309,Dean Chynoweth,pulled hamstring ,out for season,1173
310,Jason Arnott,strained knee ,DTD,1174
311,Brian Bellows,hip pointed ,DTD,1176
312,Craig Berube,knee injury ,out indefinitely,1177
313,Patrice Brisebois,mild irritation of disc in back ,out for season,1180
314,Brian Bradley ,back injury ,DTD,1185
315,Dave Babych,ankle injury ,DTD,1187
316,Gary Roberts,neck injury ,3492,1189
317,Matthew Barnaby,groin injury ,DTD,1189
318,Shane Churla,separated shoulder ,DTD,1190
319,Jamie Baker,flu ,DTD,1190
320,Brian Bradley ,left knee injury ,DTD,1192
321,Marc Bergevin,groin injury ,DTD,1193
322,Greg Adams ,broken toe ,DTD,1193
323,Jason Arnott,inner ear infection ,DTD,1194
324,Brian Bradley ,left knee injury ,DTD,1198
325,Paul Coffey,back spasms ,DTD,1203
326,Joby Messier,injuries suffered in car accident ,out indefinitely,1331
327,Mitch Messier,head and neck injuries suffered in car accident ,out indefinitely,1331
328,Eric Lindros,injured groin,Unknown,1344
329,Elias Abrahamsson,shoulder injury ,out indefinitely,1367
330,Rusty Fitzgerald,knee injury ,out indefinitely,1370
331,Randy Smith,surgery on back ,out indefinitely),1370
332,Zarley Zalapski,knee injury ,out indefinitely,1376
333,Pat LaFontaine,concussion,Unknown,1386
334,Sean Hill,knee injury ,out indefinitely,1387
335,James Patrick,knee injury ,out indefinitely,1393
336,Scott Pearson,abdominal surgery ,out indefinitely),1381
337,Pat LaFontaine,concussion ,missed game,1387
338,Mike Rathje,groin injury ,out indefinitely,1388
339,Joe Juneau,pulled hamstring ,missed games,1400
340,Jeremy Roenick,bruised knee ,out at least 2 weeks,1404
341,Pat LaFontaine,concussion ,out 3 months,1405
342,Eric Lindros,returned from groin iinjury,Unknown,1406
343,Dennis Vaske,concussion ,out indefinitely,1409
344,Doug Barrault,knee injury ,out indefinitely),1411
345,Sandy Moger,elbow injury ,out indefinitely,1424
346,Mathieu Schneider,groin injury ,out indefinitely,1437
347,Darcy Wakaluk,knee injury ,out indefinitely,1465
348,Trevor Linden,elbow injury ,out for season,1515
349,Keith Jones,knee injury ,out for season,1594
350,Vladimir Konstantinov,injuries sustained in car accident ,out indefinitely,1625
351,Sheldon Kennedy,leg injury ,suffered in cycling accident),1643
352,Daren Puppa,groin injury ,out indefinitely,1705
353,Todd Ewen,surgery on knee ,out indefinitely),1705
354,Jesse Wallin,arm injury ,suffered in car accident),1714
355,Nick Kypreos,head injury ,out indefinitely,1721
356,Ian Moran,knee injury ,out indefinitely,1734
357,Ron Stern  Ronnie Stern,surgery on knee ,out for season),1735
358,Alexei Vasiliev,knee injury ,out indefinitely,1735
359,Adrian Aucoin,ankle injury ,out indefinitely,1738
360,Brent Severyn,back injury ,out indefinitely,1756
361,Troy Mallette  Troy Mallete,back injury ,out indefinitely,1759
362,Adrian Aucoin,groin injury ,out indefinitely,1746
363,Craig Wolanin,knee injury ,out indefinitely,1746
364,Jim Johnson ,head injury ,out indefinitely,1756
365,Brian Bradley ,head injury ,out indefinitely,1756
366,Michal Pivonka,wrist injury ,out indefinitely,1757
367,Bob Probert,rotator cuff injury ,out indefinitely,1761
368,Dennis Vaske,concussion ,out for season,1767
369,Rob Niedermayer,thumb injury ,out indefinitely,1771
370,Vladimir Vujtek,Epstein-Barr virus ,out indefinitely),1776
371,Mike Peluso David,neck injury ,out indefinitely,1797
372,Dana Murzyn,knee injury ,out indefinitely,1802
373,Craig Adams,shoulder injury ,out indefinitely,1802
374,Daren Puppa,back injury ,out indefinitely,1802
375,Jesse Wallin,foot injury ,out indefinitely,1805
376,Michal Pivonka,groin injury ,out indefinitely,1864
377,Pat LaFontaine,head injury ,out indefinitely,1901
378,Rob Niedermayer,head injury ,3591,1904
379,Bill Armstrong,brain tumor ,out indefinitely,1952
380,Darrin Shannon,recovering from surgery on knee ,out indefinitely),1978
381,Guy Leveque,surgery on back ,out indefinitely),1978
382,Jocelyn Lemieux,shoulder injury ,out indefinitely,2008
383,Steven King,surgery on shoulder ,out indefinitely),2039
384,Jason Muzzatti,heart surgery ,date approximate,2070
385,Eric Belanger,fractured left hand ,2636,2087
386,Jason Morgan,knee tendinitis ,DTD,2087
387,Jozef Stumpel,sprained ankle ,DTD,2087
388,Brent Gilchrist,surgery to repair hernia ,out indefinitely,2091
389,Ian Laperriere,strained groin ,5,2094
390,Jaroslav Modry,bruised thigh/knee ,DTD,2094
391,Rob Blake,strained right hip flexor ,DTD,2103
392,Eric Messier,elbow injury ,out indefinitely,2109
393,Ian Laperriere,partially torn ACL in left knee ,out 2+ weeks,2113
394,Tuomas Gronman,knee injury ,out indefinitely,2115
395,Jamie Storr,strained left groin ,DTD,2118
396,Stephane Fiset,strained right groin ,DTD,2118
397,Josh Green,shoulder injury ,7,2119
398,Gary Suter,torn triceps tendon in left arm ,out indefinitely,2123
399,Steve McKenna,abdominal strain ,DTD,2150
400,Ville Peltonen,surgery on shoulder ,out indefinitely,2150
401,Dale Degray,shoulder injury ,out indefinitely,2150
402,John Stevens ,eye injury ,out indefinitely,2153
403,Uwe Krupp,back injury ,out indefinitely,2159
404,Mark Messier,concussion ,out indefinitely,2162
405,Denny Felsner,surgery on shoulder ,out indefinitely),2404
406,Trevor Halverson,head injury ,out for season,2435
407,Philippe Boucher,foot injury ,2319,2435
408,Mike Kennedy ,ankle injury ,out indefinitely,2451
409,Vladimir Vujtek,facial injuries ,out indefinitely,2452
410,Bryan Allen,knee injury ,3770,2455
