,Player,Injury,Length,Date
1080,Chris Higgins,hand injury ,out indefinitely,5802
1081,Mathieu Dandenault,broken arm ,out indefinitely,5802
1082,Sami Salo,groin injury ,1066,5802
1083,Nathan Gerbe,upper body injury ,DTD,5809
1084,Olaf Kolzig,upper body injury ,DTD),5810
1085,Chris Osgood,sore groin ,DTD,5810
1086,Andy Sutton,broken foot ,out indefinitely,5812
1087,Trent Hunter,groin injury ,DTD,5812
1088,Trent Hunter,illness ,DTD,5812
1089,Anton Volchenkov,upper body injury ,848,5817
1090,Marian Gaborik,groin injury ,DTD,5817
1091,Cam Barker,undisclosed injury ,DTD,5819
1092,Taylor Pyatt,broken right foot ,DTD,5819
1093,Brent Johnson ,illness ,DTD,5819
1094,Tomas Fleischmann,flu ,DTD,5819
1095,Tomas Fleischmann,pneumonia ,DTD,5821
1096,Patrick Kane,high ankle sprain ,DTD,5847
1097,Oscar Moller,fractured clavicle ,out indefinitely,5852
1098,Landon Wilson,upper body injury ,DTD,5854
1099,Derek Boogaard,upper body injury ,DTD,5854
1100,Andrew Murray,upper body injury ,DTD,5856
1101,Freddy Meyer,strained groin ,DTD,5856
1102,Steve Eminger,undisclosed injury ,356,5856
1103,Brett Festerling,knee injury ,DTD,5859
1104,Jim Slater,shoulder injury ,DTD,5864
1105,Dan Boyle,upper body injury ,DTD,5871
1106,Jochen Hecht,blurred vision ,768,5877
1107,Mark Streit,upper body injury ,61,5880
1108,Andrej Meszaros,left arm injury ,DTD,5880
1109,Wade Belak,shoulder injury ,DTD,5880
1110,Alexandre Picard ,upper body injury ,DTD,5880
1111,Marc Methot,flu ,DTD,5881
1112,Steve Mason,mononucleosis ,DTD,5881
1113,Michael Ryder  Mike Ryder,fracture facial bone ,DTD,5881
1114,Trent Hunter,hip flexor injury ,DTD,5886
1115,Denis Grebeshkov,ankle injury ,DTD,5886
1116,Joni Pitkanen,upper body injury ,DTD,5893
1117,Marek Malik,lower body injury ,DTD,5906
1118,Evgeni Nabokov,lower body injury ,DTD,5908
1119,Jere Lehtinen,upper body injury ,DTD,5908
1120,Fredrik Modin  Freddy Modin,left knee injury ,DTD,5909
1121,Raffi Torres,oblique injury ,390,5909
1122,Rob Blake,foot injury ,DTD,5912
1123,Marc Methot,concussion ,945,5916
1124,James Wisniewski,upper body injury ,DTD,5916
1125,Ilya Kovalchuk,upper body injury ,DTD,5916
1126,Adam Foote,head injury ,out for season,5917
1127,Wade Belak,undisclosed injury ,DTD,5919
1128,Adam Mair,knee injury ,DTD,5919
1129,Daniel Tjarnqvist,facial laceration ,DTD,5920
1130,Ruslan Salei,foot injury ,DTD,5922
1131,Matt Smaby,lower body injury ,DTD,5932
1132,Brian Rafalski,groin injury ,DTD,5932
1133,Mark Fistric,upper body injury ,242,5932
1134,Sergei Kostitsyn,upper body injury ,366,5936
1135,Riley Cote,left hand injury ,DTD,5938
1136,Patrick Eaves,upper body injury ,712,5938
1137,Patrice Bergeron,right foot injury ,DTD,5944
1138,Kris Draper,upper body injury ,DTD,5946
1139,Francis Bouillon,groin injury ,DTD,5954
1140,Mathieu Schneider,upper body injury ,DTD,5954
1141,Tom Preissing,arthroscopic surgery on right knee ,out indefinitely,6109
1142,Adam Burish,torn ACL in right knee ,out indefinitely,6109
1143,Ben Lovejoy,shoulder injury ,out indefinitely,6112
1144,Andreas Lilja,concussion ,out indefinitely,6114
1145,Cory Emmerton,upper body injury ,out indefinitely,6114
1146,Brian Boucher,lower body injury ,243,6115
1147,Todd Bertuzzi,groin injury ,DTD,6115
1148,Jannik Hansen,right hand injury ,out indefinitely,6116
1149,Brian McGrattan,recovering from surgery on shoulder ,DTD,6116
1150,Gregory Campbell  Greg Campbell,hip flexor injury ,DTD,6116
1151,Sean Avery,sprained right knee ,DTD,6116
1152,Toni Lydman,hand injury ,DTD,6116
1153,David Jones,bruised chest ,1225,6117
1154,Kyle Chipchura,surgury on shoulder ,6,6117
1155,Sidney Crosby,groin injury ,DTD,6117
1156,Torrey Mitchell,left knee injury ,out indefinitely,6117
1157,Cory Sarich,bruised foot ,DTD,6118
1158,Jeff Finger,strained oblique muscle ,2,6118
1159,Joni Pitkanen,surgery on knee ,766,6119
1160,Ethan Moreau,left ankle injury ,DTD,6119
1161,Petteri Nokelainen,abdominal injury ,7,6120
1162,Blake Comeau,illness ,2580,6120
1163,Jared Boll,head injury ,left game,6122
1164,Brad Cole,broken left leg ,out indefinitely,6122
1165,Erik Cole,fractured lower left leg ,DTD,6122
1166,Kurtis Foster,lower body injury ,DTD,6122
1167,Joe Pavelski,foot injury ,DTD,6122
1168,Mike Modano,bruised ribs ,DTD,6122
1169,Boris Valabik,right leg injury ,DTD,6122
1170,Glen Metropolit,rib injury ,DTD,6123
1171,Donald Brashear,body soreness ,DTD,6131
1172,Martin Havlat  Marty Havlat,groin injury ,173,6131
1173,Jose Theodore,back spasms ,DTD,6132
1174,Cody McLeod,facial laceration ,DTD,6138
1175,Shawn Thornton,undisclosed injury ,532,6138
1176,Patrick Kaleta,flu ,DTD,6148
1177,Ron Hainsey,undisclosed injury ,DTD,6148
1178,Nikita Filatov,bruised back ,DTD,6129
1179,Byron Bitz,groin injury ,DTD,6129
1180,Ray Whitney,upper body injury ,1539,6134
1181,Victor Hedman,concussion ,DTD,6134
1182,Kamil Kreps,foot injury ,DTD,6134
1183,James Neal,pulled groin ,DTD,6134
1184,Kris Russell,illness ,847,6135
1185,Ales Hemsky,shoulder injury ,1269,6136
1186,Matthew Lombardi,lower body injury ,DTD,6144
1187,Michael Leighton,groin injury ,DTD,6147
1188,Jay McKee,finger injury ,99,6147
1189,Gregory Campbell  Greg Campbell,upper body injury ,DTD,6149
1190,Rick Rypien,lower ,Y) / upper,6154
1191,Chad LaRose,lower body injury ,820,6158
1192,Niclas Wallin,upper body injury ,348,6165
1193,Patrick Kane,facial injury ,DTD,6171
1194,Marc-Andre Bergeron,facial injury ,DTD,6171
1195,Mike Brown ,upper body injury ,DTD,6171
1196,Steve Downie,head injury ,1594,6174
1197,Patrick Kaleta,head injury ,DTD,6174
1198,Trevor Daley,shoulder injury ,2729,6174
1199,Guillaume Latendresse,flu ,DTD,6177
1200,Robbie Earl,flu ,DTD,6177
1201,Chuck Kobasew,knee injury ,343,6184
1202,Derek Boogaard,lower body injury ,DTD,6184
1203,Kevin Klein,head injury ,1436,6188
1204,Martin Erat,knee injury ,30,6188
1205,David Clarkson,sore right leg ,2135,6189
1206,Jason Arnott,upper body injury ,688,6218
1207,Rick Rypien,illness ,DTD,6229
1208,Yann Danis,illness ,DTD,6232
1209,Stephane Veilleux,back injury ,DTD,6232
1210,Nathan Horton,fractured tibia ,DTD,6232
1211,Brad Stuart,sprained left shoulder ,left game,6236
1212,Scottie Upshall,torn ACL in right knee ,DTD,6239
1213,Jack Johnson ,arm injury ,DTD,6239
1214,Sheldon Souray,broken hand ,754,6239
1215,Fedor Tyutin  Fedor Tjutin,leg injury ,DTD,6246
1216,Fredrik Modin  Freddy Modin,bruised left foot ,DTD,6246
1217,Rene Bourque,shoulder injury ,657,6246
1218,Anssi Salmela,concussion ,DTD,6249
1219,Ryan Getzlaf,sprained left ankle ,1536,6249
1220,Doug Weight,shoulder injury ,DTD,6249
1221,Bryan Allen,knee injury ,DTD,6249
1222,Marcel Goc,upper body injury ,DTD,6249
1223,Marian Gaborik,lacerated right knee ,DTD,6249
1224,Steve Montador,hip injury ,DTD,6249
1225,Andrei Markov,lower body injury ,DTD,6252
1226,Shaone Morrisonn,flu ,DTD,6252
1227,Marian Gaborik,lacerated right knee ,DTD,6254
1228,Tomas Holmstrom,left knee injury ,360,6254
1229,Anton Khudobin,hip injury ,DTD,6254
1230,Darcy Tucker,illness ,DTD,6277
1231,Kim Johnsson,upper body injury ,out for season,6282
1232,Marian Hossa,upper body injury ,DTD,6282
1233,Matt Greene,upper body injury ,5,6292
1234,Sergei Gonchar,illness ,616,6292
1235,Josh Harding,hip injury ,out for season,6294
1236,Andrew Ference,groin injury ,DTD,6295
1237,Rob Blake,undisclosed ,DTD,6296
1238,Chris Clark,knee injury ,out for season,6297
1239,Aaron Ward,foot injury ,DTD,6297
1240,Jonas Hiller,back spasms ,DTD,6297
1241,Erik Ersberg,back injury ,DTD,6297
1242,Randy Jones,elbow injury ,DTD,6297
1243,Mark Stuart,hand injury ,DTD,6302
1244,Shane Doan,upper body injury ,1284,6318
1245,Marco Sturm,torn ACL and MCL in right knee ,out indefinitely,6331
1246,Andrew Ladd,upper body injury ,DTD,6353
1247,David Koci,jaw injury ,out indefinitely,6476
1248,Yann Sauve,concussion ,out indefinitely,6476
1249,Roman Josi,wrist injury ,out indefinitely,6476
1250,Josh Harding,torn ACL and MCL in right knee ,519,6477
1251,Kyle Cumiskey,groin injury ,DTD,6478
1252,Sergei Samsonov,neck injury ,out indefinitely,6478
1253,Brett Lebda,shoulder injury ,DTD,6478
1254,Craig Rivet,shoulder injury ,DTD,6478
1255,Ian Laperriere,post-concussion syndrome ,out for season,6480
1256,Michael Leighton,bulging disc in back ,DTD,6480
1257,Gustaf Wesslau,knee injury ,out indefinitely,6481
1258,Ryan Stone,knee injury ,out indefinitely,6481
1259,Bryce Salvador,concussion ,out for season,6483
1260,Brian Campbell ,sprained knee ,out indefinitely,6484
1261,Ales Kotalik,knee injury ,DTD,6484
1262,David Moss,shoulder injury ,DTD,6484
1263,Nikita Nikitin,broken right wrist ,153,6485
1264,Rick Rypien,upper body injury ,our indefinitely,6486
1265,Mattias Ohlund,right knee inflammation ,149,6486
1266,Roman Hamrlik,knee injury ,DTD,6489
1267,Chris Pronger,surgery on knee ,DTD,6489
1268,Marek Zidlicky,groin injury ,7,6489
1269,Justin Abdelkader,rib injury ,2575,6490
1270,Jason Spezza,groin injury ,DTD,6490
1271,Jamal Mayers,arm injury ,DTD,6490
1272,Ondrej Pavelec,concussion ,out indefinitely,6490
1273,Patrick Sharp,upper body injury ,DTD,6491
1274,Shaone Morrisonn,groin injury ,DTD,6496
1275,Jamie Benn,concussion ,884,6496
1276,Zach Bogosian,shoulder injury ,DTD,6496
1277,Theo Peckham,hand injury ,DTD,6505
1278,Shawn Matthias,foot injury ,DTD,6505
1279,Kurtis Foster,groin injury ,DTD,6509
1280,Eric Godard,illness ,DTD,6509
1281,Artem Anisimov Alekseevich,left game with right ankle injury,2177,6509
1282,Freddy Meyer,mid-body injury ,DTD,6509
1283,Guillaume Latendresse,groin injury ,DTD,6509
1284,Marian Hossa,upper body injury ,DTD,6510
1285,Jan Hejda,strained calf muscle ,DTD,6510
1286,Matthew Corrente  Matt Corrente,hand injury ,DTD,6503
1287,Matt Stajan,upper body injury ,DTD,6517
1288,Fernando Pisani,upper body injury ,DTD,6520
1289,Drew Stafford,upper body injury ,DTD,6527
1290,Toby Petersen,hand injury ,DTD,6527
1291,Mattias Ritola,inner ear infection ,DTD,6533
1292,Derek Boogaard,shoulder injury ,out for season,6533
1293,Matt Cullen,groin injury ,DTD,6533
1294,Milan Hejduk,groin injury ,DTD,6534
1295,Jared Boll,sore lower back ,DTD,6534
1296,Tyler Seguin,flu ,DTD,6534
1297,Chris Kunitz,undisclosed injury ,DTD,6537
1298,Willie Mitchell,lower body injury ,DTD,6540
1299,Jean-Sebastien Giguere,groin injury ,91,6540
1300,Pascal Leclaire,lower body injury ,DTD,6540
1301,Matt Hendricks,undisclosed ,DTD,6544
1302,Radim Vrbata,lower body injury ,DTD,6549
1303,Antti Miettinen,bruised leg ,DTD,6578
1304,Frans Nielsen,strained groin ,DTD,6579
1305,Evgenii Dadonov,ankle injury ,DTD,6579
1306,Eric Fehr,right shoulder injury ,70,6589
1307,Ed Jovanovski,lower body injury ,740,6589
1308,Matthew Corrente  Matt Corrente,sprained left shoulder ,DTD,6589
1309,Jeff Woywitka,shoulder injury ,321,6595
1310,Loui Eriksson,flu ,1140,6595
1311,Rostislav Klesla,lower body injury ,DTD,6599
1312,Travis Morin,dizzyness ,DTD,6608
1313,John Scott,flu ,DTD,6609
1314,Jaroslav Halak,upper body injury ,DTD,6609
1315,Matt Cullen,upper body injury ,DTD,6610
1316,Mike Lundin,abdominal / groin ,755,6611
1317,Colby Armstrong,blurred vision ,DTD,6617
1318,Matt Carkner,lower body injury ,DTD,6617
1319,Shawn Horcoff,bronchitis ,409,6618
1320,Dmitry Kulikov,bruised ankle ,DTD,6618
1321,Adrian Aucoin,lower body injury ,DTD,6622
1322,Taylor Pyatt,lower body injury ,DTD,6622
1323,Adam Burish,fractured orbital bone ,DTD,6628
1324,Krystofer Barch  Krys Barch,fractured orbital bone ,DTD,6628
1325,Ryan 'Byrne,facial lacerations ,DTD,6629
1326,Nick Boynton,upper body injury ,DTD,6629
1327,Niklas Hjalmarsson,upper body injury ,DTD,6629
1328,Ryan Stoa,appendectomy ,out indefinitely,6638
1329,Roman Polak,lower body injury ,DTD,6638
1330,B. Crombeen,undisclosed ,3,6640
1331,Mason Raymond,shoulder injury ,DTD,6640
1332,Michal Neuvirth,eye injury ,left game,6640
1333,Marc-Andre Bergeron,back injury ,DTD,6640
1334,Alexander Steen  Alex Steen,high ankle sprain ,2809,6643
1335,Barret Jackman,broken right index finger ,DTD,6643
1336,Chris Butler,upper body injury ,DTD,6645
1337,Drew Stafford,hamstring injury ,DTD,6645
1338,Paul Gaustad,upper body injury ,DTD,6645
1339,Jiri Hudler,illness/flu ,DTD,6650
1340,Carlo Colaiacovo,illness ,DTD,6655
1341,Mikael Samuelsson,lower body injury ,374,6655
1342,Alexandre Picard ,foot injury ,out for season,6657
1343,Jay Harrison,upper body injury ,DTD,6662
1344,Mark Fistric,head injury ,DTD,6667
1345,Tobias Enstrom  Toby Enstrom,shoulder injury ,out for season,6667
1346,Martin Havlat  Marty Havlat,undisclosed injury ,DTD,6667
1347,Alexander Semin,wrist injury ,227,6668
1348,Blair Betts,lower body injury ,DTD,6668
1349,John-Michael Liles,head injury / concussion ,723,6669
1350,Anton Stralman,illness ,DTD,6669
1351,Johan Franzen,ankle injury ,DTD,6684
1352,Adam McQuaid,illness ,DTD,6853
1353,Blair Betts,lower body injury ,DTD,6853
1354,Matt Walker,undisclosed injury ,DTD,6853
1355,Dustin Penner,lower body injury ,7,6853
1356,Brooks Orpik,surgery to repair hernia ,DTD,6853
1357,Nicklas Grossmann,groin injury ,DTD,6853
1358,Dave Bolland,upper body injury ,555,6854
1359,Matt Beleskey,surgery on left shoulder ,DTD,6854
1360,Mike Commodore,back injury ,DTD,6854
1361,Jochen Hecht,head injury ,DTD,6854
1362,Adam Burish,groin injury ,DTD,6854
1363,Ron Hainsey,upper body injury ,DTD,6865
1364,Taylor Hall Strba,flu ,DTD,6865
1365,Torrey Mitchell,upper body injury ,DTD,6869
1366,Dany Heatley,groin injury ,DTD,6869
1367,Guillaume Latendresse,groin / hip injury ,DTD,6869
1368,David Backes,upper body injury ,DTD,6870
1369,Jim Slater,undisclosed injury ,DTD,6870
1370,James Reimer,head injury ,1536,6870
1371,Jose Theodore,lower body injury ,DTD,6870
1372,Michael Rupp  Mike Rupp,knee injury ,DTD,6874
1373,Jussi Jokinen,lower body injury ,DTD,6860
1374,Tobias Enstrom  Toby Enstrom,broken collarbone ,out indefinitely,6860
1375,Daniel Paille,surgery to repair facial injuries ,33,6868
1376,Michael Cammalleri  Mike Cammalleri,lower body injury ,DTD,6868
1377,Marco Scandella,concussion ,DTD,6871
1378,Mike Brown ,undisclosed ,DTD,6875
1379,Sam Gagner,back injury ,DTD,6875
1380,Marcel Goc,upper body injury ,DTD,6875
1381,Vladimir Sobotka,facial injury ,DTD,6885
1382,Dan Ellis ,groin injury ,DTD,6885
1383,Sami Salo,groin injury ,3,6889
1384,Roman Hamrlik,lower body injury ,DTD,6889
1385,Eric Fehr,right shoulder injury ,DTD,6889
1386,Nikolai Antropov  Nik Antropov,undisclosed injury ,DTD,6889
1387,Kris Versteeg,fractured nose ,DTD,6889
1388,Sergei Kostitsyn,upper body injury ,DTD,6889
1389,Filip Kuba,upper body injury ,DTD,6889
1390,Nathan Gerbe,facial lacerations ,DTD,6891
1391,Patrick Kaleta,groin injury ,DTD,6891
1392,Paul Gaustad,upper body injury ,DTD,6891
1393,Nikita Filatov,broken nose ,DTD,6891
1394,Niklas Backstrom,groin injury ,5,6891
1395,Chuck Kobasew,left leg injury ,DTD,6892
1396,Ryan Wilson,head injury ,68,6895
1397,David Booth,sprained MCL in right knee ,DTD,6895
1398,Cal Clutterbuck,leg injury ,DTD,6896
1399,Claude Giroux,head injury ,out indefinitely,6899
1400,Gregory Campbell  Greg Campbell,left foot injury ,DTD,6900
1401,Nikolai Antropov  Nik Antropov,foot injury ,518,6900
1402,Samuel Pahlsson  Sami Pahlsson,illness ,DTD,6901
1403,Daniel Sedin,back injury ,DTD,6903
1404,Mikko Koivu,leg injury ,1885,6905
1405,Jesse Winchester,head injury ,846,6908
1406,Victor Hedman,upper body injury ,DTD,6916
1407,Pascal Dupuis,upper body injury ,DTD,6919
1408,Christian Ehrhoff,upper body injury ,682,6919
1409,Sergei Gonchar,head injury ,DTD,6919
1410,Erik Johnson Robert,hand injury ,2583,6946
1411,Mark Letestu,broken right hand ,out indefinitely,6946
1412,Raffi Torres,undisclosed minor injuries ,DTD,6955
1413,Dana Tyrell,lower body injury ,DTD,6955
1414,Craig Smith,flu ,1902,6955
1415,Robyn Regehr,upper body injury ,DTD,6955
1416,Roman Horak,undisclosed ,DTD,6956
1417,Zac Rinaldo,mouth injury ,DTD,6956
1418,Paul Gaustad,upper body injury ,DTD,6958
1419,Brett Lebda,thumb/hand injury ,DTD,6974
1420,Jason Arnott,left shoulder injury ,DTD,6974
1421,Chris Higgins,flu ,703,6974
1422,Martin Brodeur,sprained right ankle ,DTD,6978
1423,Zach Bogosian,upper body injury ,DTD,6986
1424,Dmitry Orlov,illness ,DTD,6990
1425,Vincent Lecavalier,upper body injury ,DTD,6990
1426,Nikolai Khabibulin,strained/sore groin ,DTD,6990
1427,Matt Bradley,concussion ,DTD,6990
1428,Jonathan Toews,concussion ,out for season,6991
1429,Aaron Johnson,upper and lower body injury ,DTD,6991
1430,Tomas Plekanec,flu ,410,6991
1431,Marcel Goc,lower body injury ,DTD,6993
1432,Craig Anderson,lacerated right hand ,DTD,6993
1433,Dominic Moore,undisclosed ,DTD,6993
1434,Steve Staios,lower body injury ,DTD,6996
1435,Victor Hedman,upper body injury ,DTD,6996
1436,Arron Asham,upper body injury ,DTD,6996
1437,Derek MacKenzie,concussion ,out for season,7007
1438,Fedor Tyutin  Fedor Tjutin,fractured right hand ,out for season,7007
1439,David Desharnais,lower body injury ,DTD,7007
1440,Casey Cizikas,flu ,DTD,7009
1441,Matt Martin Bryan,illness ,DTD,7009
1442,Alexei Emelin,upper body injury ,DTD,7013
1443,Radim Vrbata,illness ,DTD,7013
1444,Nate Thompson,upper body injury ,DTD,7015
1445,Steve Eminger,ankle injury ,43,7015
1446,Tomas Vokoun,groin injury ,DTD,7017
1447,Jimmy Howard,strained groin ,2534,7019
1448,Jason Spezza,flu ,DTD),7019
1449,Jordin Tootoo,upper body injury ,DTD,7024
1450,Martin Erat,upper body injury ,DTD,7024
1451,Jonas Gustavsson,knee injury ,DTD,7029
1452,Jeff Petry,facial injury ,1061,7029
1453,Matt Niskanen,upper body injury ,10,7035
1454,Steve Sullivan,lower body injury ,out for season,7035
1455,Darren Helm,lacerated right forearm ,out for season,7042
1456,Colin White,upper body injury ,DTD,7042
1457,Jaroslav Halak,ankle injury ,out for season,7045
1458,Lauri Korpikoski,upper body injury ,DTD,7045
1459,Martin Hanzal,lower body injury ,DTD,7045
1460,Brandon Dubinsky,leg injury ,DTD,7058
1461,Sean Bergenheim,groin injury ,DTD,7321
1462,Chuck Kobasew,flu ,DTD,7324
1463,Cam Fowler,flu ,1558,7324
1464,Mike Weaver,concussion ,650,7324
1465,Patrick Eaves,post-concussion syndrome ,DTD,7324
1466,Todd Bertuzzi,flu/mononucleosis ,423,7324
1467,Jared Cowen,left hip injury ,DTD,7324
1468,Aaron Rome,groin injury ,DTD,7324
1469,Daniel Carcillo  Dan Carcillo,right knee injury ,DTD,7325
1470,Ville Leino,leg injury ,356,7325
1471,Dennis Seidenberg,lower body injury ,DTD,7326
1472,Mike Smith  1982-03-,lower body injury ,DTD,7329
1473,Stephen Weiss,lower body injury ,DTD,7329
1474,Gabriel Landeskog,head/leg injuries ,DTD,7334
1475,Sven Baertschi,lower body injury ,DTD,7334
1476,Clarke MacArthur,lacerated finger ,DTD,7334
1477,Mike Komisarek,eye injury ,DTD,7334
1478,Matt Niskanen,ankle injury ,DTD,7334
1479,Brian Boyle,flu ,1372,7334
1480,Robyn Regehr,lower body injury ,DTD,7334
1481,Jason Spezza,upper body injury ,DTD,7334
1482,Michal Rozsival,lower body injury ,DTD,7335
1483,Adrian Aucoin,lower body injury ,DTD,7335
1484,Nikita Nikitin,head injury ,DTD,7335
1485,Steve Sullivan,lower body injury ,DTD,7335
1486,Ryan Callahan,left shoulder subluxation ,1907,7335
1487,Patrick Kaleta,neck injury ,DTD,7335
1488,Sergei Gonchar,lower body injury ,2,7335
1489,Mark Fayne,arm injury ,DTD,7336
1490,Dustin Byfuglien,lower body injury ,DTD,7336
1491,Brendan Mikkelson,upper body injury ,DTD,7336
1492,Shawn Horcoff,strained neck ,DTD,7336
1493,Ed Jovanovski,knee injury ,DTD,7336
1494,Wade Redden,flu ,1,7336
1495,Joni Pitkanen,lower body injury ,DTD,7350
1496,Tim Gleason,lower body injury ,DTD,7350
1497,Mike Brown ,shoulder injury ,DTD,7350
1498,Corey Crawford,upper body injury ,DTD,7351
1499,Derek Morris,upper body injury ,DTD,7351
1500,Tim Brent,lower body injury ,DTD,7354
1501,Paul Gaustad,upper body injury ,778,7354
1502,Brent Seabrook,lower body injury ,2152,7355
1503,Jaroslav Halak,strained groin ,984,7355
1504,Ryan Carter,head injury ,DTD,7355
1505,Lennart Petrell,head injury ,DTD,7355
1506,Rick Nash,undisclosed injury ,1423,7355
1507,Marian Hossa,head injury ,254,7356
1508,Kyle Quincey,left ankle injury ,DTD,7358
1509,Craig Anderson,sprained right ankle ,DTD,7358
1510,Cal Clutterbuck,thigh injury ,DTD,7358
1511,Rene Bourque,flu / concussion ,CBC),7359
1512,Derick Brassard,upper body injury ,DTD,7363
1513,Raphael Diaz,concussion ,DTD,7363
1514,Michal Neuvirth,illness ,34,7363
1515,Sami Salo,lower body injury ,DTD,7363
1516,Bryan Allen,flu ,338,7366
1517,Scottie Upshall,lower body injury ,763,7366
1518,Thomas Vanek,upper body injury ,3,7366
1519,Nikita Nikitin,undisclosed ,DTD,7378
1520,Ryan Garbutt,hand injury ,953,7380
1521,Ryan Nugent-Hopkins,illness ,DTD,7384
1522,Eric Selleck,concussion ,DTD,7384
1523,Marc Methot,knee injury ,DTD,7384
1524,Philip Larsen,illness ,DTD,7384
1525,Chad LaRose,illness/flu ,DTD,7392
1526,Victor Hedman,lower body injury ,928,7400
1527,Joffrey Lupul,concussion ,11,7400
1528,Mike Hoffman  1989-11-,collarbone injury ,out for season,7400
1529,Tim Kennedy,undisclosed ,DTD,7400
1530,Christopher Tanev  Chris Tanev,leg injury ,1088,7403
1531,Sheldon Souray,undisclosed ,DTD,7403
1532,Brian McGrattan,shoulder injury ,DTD,7403
1533,Jiri Hudler,upper body injury ,347,7403
1534,Evgeni Malkin,upper body injury ,DTD,7408
1535,Zenon Konopka,fractured foot ,DTD,7408
1536,Patrick Sharp,shoulder injury ,DTD,7409
1537,Zach Bogosian,upper body injury ,out for season,7416
1538,Kyle Wellwood,hand injury ,out for season,7418
1539,Clayton Stoner,upper body injury ,644,7427
1540,Brian Gionta,upper body injury ,DTD,7428
1541,Lars Eller,concussion ,2104,7428
1542,Max Pacioretty,upper body injury ,DTD,7428
1543,James Neal,sprained right ankle ,DTD,7428
1544,Danny DeKeyser,fractured right thumb ,out for season,7428
1545,Michael Kostka  Mike Kostka,fractured finger ,out for season,7429
1546,Martin Erat,left wrist injury ,682,7434
1547,Andrew MacDonald,fractured hand ,out for season,7434
1548,Mark Fraser,head injury ,out for season,7434
1549,Zenon Konopka,undisclosed ,out for season,7434
1550,Wade Redden,undisclosed ,2,7435
1551,Kyle Clifford,undisclosed ,1308,7435
1552,Ryane Clowe,head injury ,out for season,7435
1553,Andrew Ference,undisclosed injury ,DTD,7437
1554,Anton Stralman,undisclosed ,out for season,7448
1555,Cody Bass,fractured thumb ,DTD,7572
1556,Steven Pinizzotto  Steve Pinizzotto,hip injury ,DTD,7572
1557,Viktor Stalberg,sprained right shoulder ,DTD,7574
1558,Joel Armia,fractured hand ,DTD,7574
1559,Denis Grebeshkov,groin injury ,DTD,7579
1560,George Parros,concussion ,DTD,7580
1561,Peter Holland,lower body injury ,DTD,7580
1562,Sami Salo,upper body injury ,192,7581
1563,Filip Forsberg,lower body injury ,DTD,7581
1564,Adam Burish,lower body injury ,DTD,7581
1565,Brad Stuart,lower body injury ,DTD,7581
1566,Martin Havlat  Marty Havlat,surgery on groin ,27,7581
1567,Gabriel Landeskog,leg injury ,2002,7582
1568,Fedor Tyutin  Fedor Tjutin,lower body injury ,553,7582
1569,Jared Boll,upper body injury ,DTD,7582
1570,Alexandre Burrows  Alex Burrows,bruised foot ,DTD,7582
1571,Matt Stajan,bruised leg ,DTD,7582
1572,Tim Gleason,concussion ,538,7582
1573,James Neal,lower body ,CBC) / upper body injury,7582
1574,Max Pacioretty,left wrist injury ,DTD,7583
1575,Jack Hillen,tibia injury ,DTD),7583
1576,Derek Morris,upper body injury ,13,7583
1577,Ryan Miller ,groin injury ,DTD,7583
1578,Dustin Penner,lower ,CBC) / upper,7591
1579,Lauri Korpikoski,upper body injury ,DTD,7602
1580,Jamie McGinn,knee injury ,DTD,7605
1581,Mathieu Perreault,sprained left wrist ,DTD,7605
1582,Devan Dubnyk,ankle injury ,DTD,7605
1583,Tyler Pitlick,sprained left knee ,DTD,7605
1584,Tomas Fleischmann,illness ,438,7605
1585,Rob Scuderi,fractured ankle ,DTD,7605
1586,Clarke MacArthur,undisclosed injury ,DTD,7605
1587,Johan Franzen,undisclosed injury ,DTD,7608
1588,Evander Kane,lower body injury ,43,7592
1589,Jarret Stoll,upper body injury ,DTD,7592
1590,Charlie Coyle,undisclosed ,DTD,7592
1591,Jon Merrill,facial lacerations ,DTD,7593
1592,Craig Anderson,stiff neck / head injury ,DTD,7593
1593,Ron Hainsey,flu ,DTD,7608
1594,Mark Fraser,lower body injury ,DTD,7608
1595,Philip Larsen,undisclosed ,DTD,7608
1596,Filip Forsberg,upper body injury ,DTD,7608
1597,Bryan Bickell,lower body injury ,154,7609
1598,Brandon Dubinsky,bruised foot ,DTD,7609
1599,Dennis Seidenberg,lower body injury ,DTD,7609
1600,Torrey Mitchell,left leg injury ,DTD,7609
1601,Filip Forsberg,upper body injury ,DTD,7612
1602,Zenon Konopka,facial injury ,DTD,7619
1603,Ryan Carter,facial lacerations ,DTD,7620
1604,Boyd Gordon,shoulder injury ,DTD,7620
1605,Marc Methot,flu ,DTD,7620
1606,Tyler Seguin,concussion ,CBC) / concussion-like symptoms,7620
1607,Magnus Paajarvi-Svensson  Magnus Paajarvi,flu ,DTD,7621
1608,Alexandre Burrows  Alex Burrows,fractured jaw ,DTD,7621
1609,Vincent Lecavalier,back spasms ,DTD,7621
1610,Evgeni Malkin,lower body injury ,DTD,7624
1611,Colin Fraser,concussion ,DTD,7631
1612,Corey Potter,neck injury ,DTD,7631
1613,Jaden Schwartz,upper body injury ,DTD,7635
1614,Anton Volchenkov,body soreness ,DTD,7647
1615,John Tavares,lower body injury ,DTD,7647
1616,Chuck Kobasew,lower body injury ,DTD,7673
1617,Danny DeKeyser,lower body injury ,326,7673
